price,year,body_type,volume,fuel,gearbox,type,brand,model
4390000,2021,лифтбек,1.6,бензин,механика,Б/у,ВАЗ,Granta 2191
400000,1997,седан,1.7,бензин,механика,Б/у,ВАЗ,2107
2200000,2013,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2121
4600000,2023,лифтбек,1.6,бензин,механика,Б/у,ВАЗ,Granta 2191
2300000,2014,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
3600000,2019,внедорожник,1.6,бензин,механика,Б/у,ВАЗ,Lada 2121
2300000,2010,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2121
2000000,2008,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2112
2250000,2012,универсал,1.5,бензин,механика,Б/у,ВАЗ,2104
4750000,2014,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus
2600000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Priora 2172
3000000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
1000000,2008,хэтчбек,1.6,газ-бензин,механика,Б/у,ВАЗ,Priora 2172
2100000,2013,хэтчбек,1.6,газ-бензин,механика,Б/у,ВАЗ,Priora 2170
1370000,2013,хэтчбек,1.5,бензин,механика,Б/у,ВАЗ,2114
5200000,2020,седан,1.6,бензин,вариатор,Б/у,ВАЗ,Vesta Cross
3500000,2013,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2121
2200000,2012,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
1290000,2000,седан,1.6,бензин,механика,Б/у,ВАЗ,2110
1500000,2013,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2121
5000000,2018,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus
1650000,2013,хэтчбек,1.5,бензин,механика,Б/у,ВАЗ,2114
9400000,2025,универсал,1.6,бензин,механика,новый,ВАЗ,Largus Classic
4000000,2017,седан,1.6,бензин,робот,Б/у,ВАЗ,Vesta
8290000,2025,внедорожник,1.7,бензин,механика,новый,ВАЗ,Niva Travel Comfort
1600000,2011,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
8790000,2024,седан,1.8,бензин,автомат,новый,ВАЗ,Vesta Enjoy
1200000,2002,седан,1.5,бензин,механика,Б/у,ВАЗ,2110
3300000,2014,седан,1.6,бензин,автомат,Б/у,ВАЗ,Granta 2190
